keyword,search_volume,competition,competition_index,cpc,low_top_of_page_bid,high_top_of_page_bid
cacao nibs,33100,HIGH,99,0.56,0.13,2.7
fair trade cocoa,9900,MEDIUM,42,3.58,0.51,4.56
ceremonial cacao,8100,HIGH,100,2.92,0.85,3.61
raw cacao beans,3600,HIGH,67,0.76,0.31,1.74
raw cacao nibs,2900,HIGH,100,0.71,0.15,1.87
unsweetened cacao nibs,2900,MEDIUM,39,0.27,0.17,0.98
cocoa nibs raw,2900,HIGH,100,0.71,0.15,1.87
organic cacao nibs,1900,HIGH,100,1.31,0.37,3.28
cacao nibs organic,1900,HIGH,100,1.31,0.37,3.28
cacao beans for sale,1300,HIGH,100,0.89,0.25,2.08
cocoa origin,1300,LOW,4,0.98,0.07,1.21
organic fair trade cacao powder,1000,MEDIUM,37,0.77,0.38,2.86
navitas organic cacao nibs,1000,MEDIUM,37,0.63,0.2,0.95
navitas organics organic cacao nibs,1000,MEDIUM,37,0.63,0.2,0.95
cacao paste,880,HIGH,100,1.7,0.41,2.41
bulk cocoa powder,880,HIGH,100,1.83,0.73,3.69
navitas cacao nibs,720,HIGH,100,0.55,0.17,1.17
organic cacao beans,720,MEDIUM,59,1.08,0.3,2.37
navitas naturals cacao nibs,720,HIGH,100,0.55,0.17,1.17
cacao nibs whole foods,590,HIGH,93,0.57,0.47,0.91
cacao beans whole foods,590,HIGH,93,0.57,0.47,0.91
cocoa nibs whole foods,590,HIGH,93,0.57,0.47,0.91
keiths cacao,480,HIGH,97,3.33,1.34,3.71
best ceremonial cacao,480,HIGH,100,3.26,0.8,4.94
ceremonial cacao powder,480,HIGH,99,2.44,0.47,3.67
volupta cacao powder,480,HIGH,100,0.36,0.24,1.55
cocoa nibs where to buy,480,HIGH,100,0.37,0.14,1.29
origin cacao,480,LOW,9,1.01,0.35,1.9
cacao chips,390,HIGH,100,0.47,0.2,0.91
ceremonial cacao near me,390,HIGH,100,1.09,0.48,2.35
bulk cacao nibs,320,HIGH,100,3.94,1.05,6.61
keith's cacao,320,HIGH,91,3.12,1.26,3.36
cocoa nibs bulk,320,HIGH,100,3.94,1.05,6.61
sweet cacao nibs,320,HIGH,100,0.32,0.3,2.2
sweetened cacao nibs,320,HIGH,100,0.32,0.3,2.2
chocolate beans bulk,320,HIGH,100,3.94,1.05,6.61
cacao nibs sweetened,320,HIGH,100,0.32,0.3,2.2
sweetened cocoa nibs,320,HIGH,100,0.32,0.3,2.2
fair trade cocoa powder,260,HIGH,99,2.09,0.42,4.01
organic raw cacao nibs,260,HIGH,100,1.44,0.32,2.35
ora ceremonial cacao,260,HIGH,100,2.18,0.98,5.26
fairtrade cocoa powder,260,HIGH,99,2.09,0.42,4.01
bulk baking cocoa,260,HIGH,99,1.83,0.53,3.01
cacao nibs vegan,260,LOW,13,0.25,,
wholesale cacao,210,HIGH,100,3.78,1.23,6.65
bulk cacao powder,210,HIGH,100,3.01,0.66,3
ceremonial cacao paste,210,HIGH,78,2.85,0.7,3.01
cacao nibs wholesale,210,HIGH,100,3.78,1.23,6.65
navitas cacao butter,210,HIGH,100,0.9,0.25,1.12
cocoa nibs wholesale,210,HIGH,100,3.78,1.23,6.65
wholesale cocoa beans,210,HIGH,100,3.78,1.23,6.65
wholesale cacao beans,210,HIGH,100,3.78,1.23,6.65
navitas organic cacao,210,HIGH,88,0.69,0.23,1.09
organic fair trade cocoa,210,HIGH,100,2.87,1.32,3.95
sacred cacao,170,HIGH,100,1.86,0.71,2.01
organic ceremonial cacao,170,HIGH,99,2.67,1.36,4.6
raw cacao paste,170,MEDIUM,54,2,0.33,2.33
carob nibs,170,HIGH,100,0.6,0.23,1.9
raw cacao beans for sale,170,HIGH,100,0.88,0.24,1.36
bulk hot cocoa powder,170,HIGH,100,1.28,0.3,3.99
raw chocolate nibs,170,HIGH,100,0.71,0.22,2.44
fair trade cacao,140,HIGH,85,4.69,1.22,4.93
bulk organic cacao powder,140,HIGH,100,3.03,0.72,3.81
equal exchange cocoa powder,140,HIGH,100,1.95,0.35,7.68
bulk organic cocoa powder,140,HIGH,100,3.03,0.72,3.81
fair trade cocoa beans,140,HIGH,85,4.69,1.22,4.93
cacao trade,140,LOW,12,0.01,,
ceremonial cacao ceremony,140,HIGH,70,0.62,0.32,1.91
cocoa brazil,140,LOW,27,0.28,,
single origin cacao,110,HIGH,95,1.78,1.14,2.08
ceremonial chocolate,110,HIGH,100,3.78,0.97,3.39
cocoa powder wholesale,110,HIGH,100,2.52,1.44,6.27
ceremonial cacao block,110,HIGH,99,2.37,0.74,3.2
wholesale cacao powder,110,HIGH,100,2.52,1.44,6.27
bulk dutch cocoa powder,110,HIGH,100,2.42,0.42,2.82
organic raw cacao beans,110,HIGH,73,0.94,0.24,1.34
single origin cocoa,110,HIGH,95,1.78,1.14,2.08
single origin cocoa beans,110,HIGH,95,1.78,1.14,2.08
buy cacao nibs,90,HIGH,100,1.13,0.33,3.76
organic cacao paste,90,HIGH,100,1.62,0.62,3.04
cacao nibs for sale,90,HIGH,100,0.82,0.25,2.1
fair trade cacao powder,90,HIGH,100,1.12,0.36,2.75
chocolate nibs for sale,90,HIGH,100,0.82,0.25,2.1
terrasoul cacao nibs,90,HIGH,100,0.26,0.23,1.7
cocoa nibs buy,90,HIGH,100,1.13,0.33,3.76
healthy cacao nibs,90,MEDIUM,44,1.54,0.05,3.53
ceremony cacao,70,HIGH,100,2.15,0.61,2.73
sacred cacao ceremony,70,MEDIUM,51,1.34,0.15,0.86
keith cacao,70,HIGH,95,8.96,1.46,3.85
pure ceremonial cacao,70,HIGH,100,2.58,0.93,3.51
ceremonial cacao for sale,70,HIGH,100,3.23,0.91,4.45
cacao lab ceremonial cacao,70,HIGH,100,2.14,0.36,2.81
sacred cocoa,70,HIGH,95,2.23,,
organic cacao butter bulk,70,HIGH,100,3.57,0.92,5
organic fair trade cocoa powder,70,HIGH,97,1.1,0.44,3.71
anthony's cacao nibs,70,HIGH,100,0.85,0.23,1.18
anthony's cocoa nibs,70,HIGH,100,0.85,0.23,1.18
ceremonial cacao reddit,70,HIGH,76,4.54,,
kakao ceremonial cacao,70,HIGH,100,2.61,1.18,4.04
navitas organic cacao butter,70,HIGH,76,0.85,0.13,1.25
viva naturals organic cacao nibs,70,HIGH,68,0.57,0.46,1.09
buy ceremonial cacao,50,HIGH,100,2.46,0.74,4.2
